#loc subtype r0 xOffset zOffset lrtOffset tofOffset0 tofOffset1
#VANDLE BARS
0 small 50.5 0.0 0.0 -38.5236 2.69674 9.9
1 small 50.5 0.0 0.0 -44.162 1.58165 9.9
2 small 50.5 0.0 0.0 -40.7118 -0.296628 9.9
3 small 50.5 0.0 0.0 -47.5449 -0.129475 9.9
4 small 50.5 0.0 0.0 -32.4221 1.43039 9.9
5 small 50.5 0.0 0.0 -52.5468 1.34321 9.9
6 small 50.5 0.0 0.0 -36.2009 1.27103 9.9
7 small 50.5 0.0 0.0 -48.0881 4.40056 9.9
8 small 50.5 0.0 0.0 -41.4849 -0.0337081 9.9
9 small 50.5 0.0 0.0 -48.9787 4.08703 9.9
10 small 50.5 0.0 0.0 -37.7747 2.64695 9.9
11 small 50.5 0.0 0.0 -46.9764 -0.210298 9.9
12 small 50.5 0.0 0.0 -35.8031 3.47089 9.9
13 small 50.5 0.0 0.0 -53.6672 2.61694 9.9
14 small 50.5 0.0 0.0 -36.0819 -2.22463 9.9
15 small 50.5 0.0 0.0 -49.2388 0.807574 9.9
16 small 50.5 0.0 0.0 -40.2205 3.15217 9.9
17 small 50.5 0.0 0.0 -47.8179 -1.18921 9.9
18 small 50.5 0.0 0.0 -41.4071 -0.880028 9.9
19 small 50.5 0.0 0.0 -51.6241 1.08165 9.9
20 small 50.5 0.0 0.0 -36.5857 1.3682 9.9
21 small 50.5 0.0 0.0 -42.1364 2.22694 9.9
22 small 50.5 0.0 0.0 -36.4757 1.02409 9.9
23 small 50.5 0.0 0.0 -42.9907 1.86131 9.9
24 small 50.5 0.0 0.0 -41.2609 -1.31397 9.9
25 small 50.5 0.0 0.0 -52.7274 1.42977 9.9
26 small 50.5 0.0 0.0 -46.8997 1.68253 9.9
27 small 50.5 0.0 0.0 -47.6718 -0.520481 9.9
28 small 50.5 0.0 0.0 -40.5301 -0.665073 9.9
29 small 50.5 0.0 0.0 -48.3234 3.79175 9.9
30 small 50.5 0.0 0.0 -44.9147 1.66561 9.9
31 small 50.5 0.0 0.0 -49.1992 -0.528849 9.9
32 small 50.5 0.0 0.0 -36.2842 0.699873 9.9
33 small 50.5 0.0 0.0 -47.9416 -2.23818 9.9
34 small 50.5 0.0 0.0 -36.6761 0.334863 9.9
35 small 50.5 0.0 0.0 -52.8678 1.23333 9.9
36 small 50.5 0.0 0.0 -36.6435 0.953928 9.9
37 small 50.5 0.0 0.0 -46.9067 -0.477726 9.9
38 small 50.5 0.0 0.0 -37.1417 1.2458 9.9
39 small 50.5 0.0 0.0 -48.276 -0.520122 9.9
40 small 50.5 0.0 0.0 -32.6779 1.81633 9.9
41 small 50.5 0.0 0.0 -40.535 1.96538 9.9

#Betas
0 beta  1.27   00.0   0.00   0.000  0.000  0.00
